"Strain","Location","Isolation.type","SNP.cluster","Min.same","AMR.genotypes","day","month","year","Isolation.source.category","region"
"Other","IL","environmental/other",NA,NA,"Other",17,11,2014,"Cattle","Midwest"
"Other","MD","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",20,2,2014,"Cattle","South"
"Other","PA","environmental/other",NA,NA,"Other",21,2,2014,"Pig","Northeast"
"Other","FL","environmental/other",NA,NA,"Other",21,2,2014,"Cattle","South"
"Other","PA","environmental/other",NA,NA,"Other",24,2,2014,"Environment","Northeast"
"Other","PA","environmental/other",NA,NA,"Other",24,2,2014,"Cattle","Northeast"
"Other","NC","environmental/other",NA,NA,"Other",12,12,2014,"Poultry","South"
"Other","CA","environmental/other",NA,NA,"Other",21,2,2014,"Environment","West"
"Other","TX","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",17,11,2014,"Cattle","South"
"Other","PA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",17,11,2014,"Pig","Northeast"
"Other","NC","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",17,11,2014,"Environment","South"
"Other","MO","environmental/other",NA,NA,"Other",18,8,2014,"Poultry","Midwest"
"Other","NY","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",17,11,2014,"Environment","Northeast"
"Other","NE","environmental/other",NA,NA,"Other",17,11,2014,"Cattle","Midwest"
"Other","TX","environmental/other",NA,NA,"Other",4,9,2014,"Pig","South"
"Other","IA","environmental/other",NA,NA,"Other",17,11,2014,"Pig","Midwest"
"Other","SC","environmental/other",NA,NA,"Other",7,5,2014,"Poultry","South"
"Other","SC","environmental/other",NA,NA,"Other",9,5,2014,"Pig","South"
"Other","SC","environmental/other",NA,NA,"Other",6,10,2014,"Environment","South"
"Other","SC","environmental/other",NA,NA,"Other",10,3,2014,"Pig","South"
"Other","VA","environmental/other",NA,NA,"Other",30,12,2013,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",9,1,2014,"Environment","South"
"Other","TX","environmental/other",NA,NA,"Other",13,1,2014,"Environment","South"
"Other","NJ","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",23,6,2014,"Cattle","Northeast"
"Other","TN","environmental/other",NA,NA,"Other",19,6,2014,"Pig","South"
"Other","NC","environmental/other",NA,NA,"Other",19,6,2014,"Poultry","South"
"Other","CA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",23,6,2014,"Pig","West"
"Other","CA","environmental/other",NA,NA,"Other",23,6,2014,"Cattle","West"
"Other","TX","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",16,6,2014,"Cattle","South"
"Other","PA","environmental/other",NA,NA,"Other",27,6,2014,"Pig","Northeast"
"Other","TX","environmental/other",NA,NA,"Other",30,6,2014,"Poultry","South"
"Other","AL","environmental/other",NA,NA,"Other",26,6,2014,"Poultry","South"
"Other","ME","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",27,6,2014,"Environment","Northeast"
"Other","PA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE",27,6,2014,"Pig","Northeast"
"Other","FL","environmental/other",NA,NA,"Other",30,6,2014,"Pig","South"
"Other","WI","environmental/other",NA,NA,"Other",26,6,2014,"Cattle","Midwest"
"Other","FL","environmental/other",NA,NA,"Other",30,6,2014,"Environment","South"
"Other","PA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",30,6,2014,"Environment","Northeast"
"Other","NC","environmental/other",NA,NA,"Other",28,6,2014,"Poultry","South"
"Other","MI","environmental/other",NA,NA,"Other",19,5,2014,"Pig","Midwest"
"Other","WI","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",12,6,2014,"Environment","Midwest"
"Other","WA","environmental/other",NA,NA,"Other",16,6,2014,"Cattle","West"
"Other","TX","environmental/other",NA,NA,"Other",16,6,2014,"Environment","South"
"Other","CO","environmental/other",NA,NA,"Other",30,5,2014,"Cattle","West"
"Other","KS","environmental/other",NA,NA,"Other",29,5,2014,"Cattle","Midwest"
"Other","NC","environmental/other",NA,NA,"Other",28,5,2014,"Pig","South"
"Other","TX","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",29,5,2014,"Pig","South"
"Other","MO","environmental/other",NA,NA,"Other",30,5,2014,"Poultry","Midwest"
"Other","GA","environmental/other",NA,NA,"Other",2,6,2014,"Poultry","South"
"Other","WI","environmental/other",NA,NA,"Other",28,5,2014,"Environment","Midwest"
"Other","MI","environmental/other",NA,NA,"Other",22,5,2014,"Pig","Midwest"
"Other","CA","environmental/other",NA,NA,"Other",27,5,2014,"Cattle","West"
"Other","NC","environmental/other",NA,NA,"Other",29,9,2014,"Pig","South"
"Other","AR","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",6,10,2014,"Poultry","South"
"Other","FL","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",6,10,2014,"Environment","South"
"Other","TX","environmental/other",NA,NA,"Other",6,10,2014,"Environment","South"
"Other","TX","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",6,10,2014,"Environment","South"
"Other","NC","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",6,10,2014,"Pig","South"
"Other","TX","environmental/other",NA,NA,"Other",6,10,2014,"Cattle","South"
"Other","MD","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",20,10,2014,"Cattle","South"
"Other","PA","environmental/other",NA,NA,"Other",16,10,2014,"Environment","Northeast"
"Other","WI","environmental/other",NA,NA,"Other",20,10,2014,"Environment","Midwest"
"Other","WI","environmental/other",NA,NA,"Other",20,10,2014,"Cattle","Midwest"
"Other","MD","environmental/other",NA,NA,"Other",20,10,2014,"Cattle","South"
"Other","PA","environmental/other",NA,NA,"Other",4,6,2015,"Pig","Northeast"
"Other","CA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",5,6,2015,"Produce and Food","West"
"Other","PA","environmental/other",NA,NA,"Other",4,6,2015,"Pig","Northeast"
"Other","PA","environmental/other",NA,NA,"Other",2,6,2015,"Pig","Northeast"
"Other","PA","environmental/other",NA,NA,"Other",2,6,2015,"Pig","Northeast"
"Other","PA","environmental/other",NA,NA,"Other",2,6,2015,"Pig","Northeast"
"Other","USA","environmental/other",NA,NA,"Other",30,6,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",24,8,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",17,11,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",14,7,2014,"Human","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",14,7,2014,"Human","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",16,6,2014,"Human","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",16,6,2014,"Human","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",23,6,2014,"Human","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",2,6,2014,"Human","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",2,6,2014,"Human","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",2,6,2014,"Human","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",16,6,2013,"Human","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",17,11,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",14,7,2013,"Human","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",23,6,2013,"Human","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",4,5,2015,"Missing and Other","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",16,6,2014,"Human","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",2,6,2014,"Human","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",2,6,2014,"Human","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",2,6,2014,"Human","USA, General"
"Other","USA","environmental/other",NA,NA,"Other",16,6,2013,"Human","USA, General"
"Other","CA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",10,11,2013,"Cattle","West"
"Other","CA","environmental/other",NA,NA,"Other",9,10,2013,"Pig","West"
"Other","CO","clinical",NA,NA,"Other",22,9,2015,"Human","West"
"Other","CO","clinical",NA,NA,"Other",22,7,2015,"Human","West"
"Other","TN","environmental/other",NA,NA,"Other",30,6,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",30,6,2014,"Cattle","South"
"Other","TN","environmental/other",NA,NA,"Other",18,8,2014,"Environment","South"
"Other","TN","environmental/other",NA,NA,"Other",18,8,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",18,8,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",18,8,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",18,8,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",18,8,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",30,6,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",18,7,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",17,7,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",30,6,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",17,7,2014,"Missing and Other","South"
"Other","TN","environmental/other",NA,NA,"Other",17,7,2014,"Environment","South"
"Other","TN","environmental/other",NA,NA,"Other",30,6,2014,"Poultry","South"
"Other","USA","clinical",NA,NA,"Other",10,10,2016,"Missing and Other","USA, General"
"Other","USA","clinical",NA,NA,"acrF=MISTRANSLATION,blaEC=COMPLETE,mdtM=COMPLETE",11,10,2016,"Missing and Other","USA, General"
"Other","TN","environmental/other",NA,NA,"Other",27,6,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",27,6,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",27,6,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",30,6,2014,"Cattle","South"
"Other","TN","environmental/other",NA,NA,"Other",17,7,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",18,7,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",17,7,2014,"Poultry","South"
"Other","FL","environmental/other",NA,NA,"Other",5,2,2016,"Cattle","South"
"Other","TN","environmental/other",NA,NA,"Other",18,8,2014,"Missing and Other","South"
"Other","TN","environmental/other",NA,NA,"Other",17,7,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",18,8,2014,"Cattle","South"
"Other","TN","environmental/other",NA,NA,"Other",17,7,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",17,7,2014,"Poultry","South"
"Other","FL","environmental/other",NA,NA,"Other",5,2,2016,"Cattle","South"
"Other","FL","environmental/other",NA,NA,"Other",5,2,2016,"Cattle","South"
"Other","TN","environmental/other",NA,NA,"Other",18,8,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",18,8,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",29,5,2015,"Pig","South"
"Other","TN","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",18,8,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",18,8,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(B)=COMPLETE",18,8,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",18,8,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",3,5,2015,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",29,5,2015,"Environment","South"
"Other","TN","environmental/other",NA,NA,"Other",3,5,2015,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",29,5,2015,"Pig","South"
"Other","TN","environmental/other",NA,NA,"Other",29,5,2015,"Cattle","South"
"Other","TN","environmental/other",NA,NA,"Other",18,8,2014,"Poultry","South"
"Other","USA","clinical",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",18,8,2016,"Missing and Other","USA, General"
"Other","TN","environmental/other",NA,NA,"Other",3,5,2015,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",3,5,2015,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",3,5,2015,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",3,5,2015,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",3,5,2015,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",3,5,2015,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",29,6,2015,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",29,6,2015,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",29,6,2015,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",29,6,2015,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",15,6,2015,"Animal(Other)","South"
"Other","TN","environmental/other",NA,NA,"Other",3,5,2015,"Poultry","South"
"Other","USA","clinical",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",30,11,2015,"Missing and Other","USA, General"
"Other","USA","clinical",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",12,3,2015,"Missing and Other","USA, General"
"Other","USA","clinical",NA,NA,"Other",15,8,2015,"Missing and Other","USA, General"
"Other","USA","clinical",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",31,7,2015,"Human","USA, General"
"Other","USA","clinical",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",12,6,2015,"Human","USA, General"
"Other","USA","clinical",NA,NA,"Other",4,11,2015,"Human","USA, General"
"Other","USA","clinical",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",16,11,2015,"Human","USA, General"
"Other","USA","clinical",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",30,10,2015,"Human","USA, General"
"Other","USA","clinical",NA,NA,"Other",19,1,2016,"Human","USA, General"
"Other","USA","clinical",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",3,2,2016,"Human","USA, General"
"Other","USA","clinical",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",14,1,2016,"Human","USA, General"
"Other","USA","clinical",NA,NA,"Other",14,1,2016,"Human","USA, General"
"Other","USA","clinical",NA,NA,"Other",14,1,2016,"Human","USA, General"
"Other","USA","clinical",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE",25,1,2016,"Human","USA, General"
"Other","USA","clinical",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",1,1,2016,"Human","USA, General"
"Other","USA",NA,NA,NA,"Other",29,4,2014,"Pig","USA, General"
"Other","NC","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",16,12,2014,"Human","South"
"Other","TN","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE,tet(A)=COMPLETE",13,7,2015,"Animal(Other)","South"
"Other","PA","environmental/other",NA,NA,"Other",23,4,2015,"Cattle","Northeast"
"Other","TN","environmental/other",NA,NA,"Other",29,6,2015,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",13,7,2015,"Animal(Other)","South"
"Other","TN","environmental/other",NA,NA,"Other",29,6,2015,"Poultry","South"
"Other","NC","environmental/other",NA,NA,"Other",31,3,2015,"Human","South"
"Other","NC","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",31,7,2014,"Human","South"
"Other","NC","environmental/other",NA,NA,"Other",31,7,2014,"Missing and Other","South"
"Other","TN","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",29,6,2015,"Poultry","South"
"Other","USA",NA,NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",17,7,2013,"Cattle","USA, General"
"Other","NC","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",14,9,2015,"Environment","South"
"Other","NC","environmental/other",NA,NA,"Other",24,8,2015,"Human","South"
"Other","NC","environmental/other",NA,NA,"Other",24,8,2015,"Human","South"
"Other","NC","environmental/other",NA,NA,"Other",24,8,2015,"Human","South"
"Other","USA","clinical",NA,NA,"Other",29,12,2015,"Human","USA, General"
"Other","USA","clinical",NA,NA,"Other",17,10,2015,"Human","USA, General"
"Other","USA","clinical",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",11,11,2014,"Human","USA, General"
"Other","USA","clinical",NA,NA,"Other",13,8,2015,"Human","USA, General"
NA,"USA","clinical",NA,NA,"Other",13,11,2015,"Missing and Other","USA, General"
"Other","USA","clinical",NA,NA,"Other",2,11,2015,"Human","USA, General"
"Other","USA","clinical",NA,NA,"Other",17,12,2014,"Human","USA, General"
"Other","USA","clinical",NA,NA,"Other",28,11,2014,"Human","USA, General"
"Other","USA","clinical",NA,NA,"Other",14,2,2015,"Human","USA, General"
"Other","USA","clinical",NA,NA,"Other",9,6,2015,"Human","USA, General"
"Other","USA","clinical",NA,NA,"Other",18,8,2015,"Human","USA, General"
"Other","USA","clinical",NA,NA,"Other",5,8,2015,"Human","USA, General"
"Other","USA","clinical",NA,NA,"Other",14,1,2015,"Human","USA, General"
"Other","USA","clinical",NA,NA,"Other",6,3,2015,"Human","USA, General"
"Other","TN","environmental/other",NA,NA,"Other",13,7,2015,"Cattle","South"
"Other","NC","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",1,6,2015,"Missing and Other","South"
"Other","NC","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",1,6,2015,"Missing and Other","South"
"Other","NC","environmental/other",NA,NA,"Other",1,6,2015,"Environment","South"
"Other","DC","clinical",NA,NA,"Other",26,2,2014,"Human","South"
"Other","USA","clinical",NA,NA,"Other",19,9,2015,"Missing and Other","USA, General"
"Other","USA","clinical",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",25,6,2016,"Missing and Other","USA, General"
"Other","USA","clinical",NA,NA,"Other",28,12,2015,"Human","USA, General"
"Other","NY","clinical",NA,NA,"Other",13,11,2016,"Human","Northeast"
"Other","TN","environmental/other",NA,NA,"Other",17,7,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",30,6,2014,"Environment","South"
"Other","TN","environmental/other",NA,NA,"Other",2,9,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"Other",23,6,2014,"Poultry","South"
"Other","TN","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",3,6,2015,"Environment","South"
"Other","USA","clinical",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",16,8,2015,"Missing and Other","USA, General"
"Other","FL","environmental/other",NA,NA,"Other",15,9,2015,"Cattle","South"
"Other","FL","environmental/other",NA,NA,"Other",30,10,2015,"Human","South"
"Other","FL","environmental/other",NA,NA,"Other",6,11,2015,"Human","South"
"Other","FL","environmental/other",NA,NA,"Other",30,11,2015,"Human","South"
"Other","FL","environmental/other",NA,NA,"Other",1,11,2015,"Human","South"
"Other","USA","clinical",NA,NA,"Other",3,9,2016,"Missing and Other","USA, General"
"Other","USA","clinical",NA,NA,"Other",20,8,2016,"Missing and Other","USA, General"
"Other","USA","clinical",NA,NA,"Other",5,9,2016,"Missing and Other","USA, General"
"Other","USA","clinical",NA,NA,"Other",14,12,2015,"Missing and Other","USA, General"
"Other","USA","clinical",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",17,8,2015,"Missing and Other","USA, General"
"Other","PA","environmental/other",NA,NA,"Other",16,12,2013,"Human","Northeast"
"Other","CO","environmental/other",NA,NA,"Other",13,12,2013,"Human","West"
"Other","NY","environmental/other",NA,NA,"Other",19,9,2013,"Human","Northeast"
"Other","CA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",18,7,2013,"Human","West"
"Other","CA","environmental/other",NA,NA,"Other",17,5,2013,"Human","West"
"Other","TN","environmental/other",NA,NA,"Other",24,5,2013,"Human","South"
"Other","PA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",16,12,2013,"Human","Northeast"
"Other","FL","environmental/other",NA,NA,"Other",10,6,2013,"Cattle","South"
"Other","FL","environmental/other",NA,NA,"Other",10,6,2013,"Cattle","South"
"Other","KS","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",24,7,2013,"Cattle","Midwest"
"Other","KS","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",24,7,2013,"Cattle","Midwest"
"Other","KS","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",24,7,2013,"Cattle","Midwest"
"Other","KS","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",24,7,2013,"Cattle","Midwest"
"Other","PA","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",16,12,2013,"Human","Northeast"
"Other","NJ","environmental/other",NA,NA,"Other",23,10,2013,"Human","Northeast"
"Other","FL","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE",24,5,2013,"Missing and Other","South"
"Other","CO","environmental/other",NA,NA,"Other",24,4,2013,"Human","West"
"Other","PA","environmental/other",NA,NA,"Other",11,7,2013,"Missing and Other","Northeast"
"Other","CA","environmental/other",NA,NA,"Other",12,6,2013,"Human","West"
"Other","PA","clinical",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",16,12,2013,"Human","Northeast"
"Other","NM","environmental/other",NA,NA,"Other",19,9,2013,"Human","West"
"Other","PA","environmental/other",NA,NA,"Other",12,6,2013,"Human","Northeast"
"Other","NJ","environmental/other",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,glpT_E448K=POINT,mdtM=COMPLETE,pmrB_Y358N=POINT",23,10,2013,"Human","Northeast"
"Other","MA","clinical",NA,NA,"Other",13,12,2013,"Human","Northeast"
"Other","NE","environmental/other",NA,NA,"Other",19,2,2013,"Human","Midwest"
"Other","USA","clinical",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",1,9,2016,"Missing and Other","USA, General"
"Other","USA","clinical",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",31,8,2016,"Missing and Other","USA, General"
"Other","USA","clinical",NA,NA,"Other",11,9,2015,"Missing and Other","USA, General"
"Other","USA","clinical",NA,NA,"acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE",13,9,2015,"Missing and Other","USA, General"
